confound_level,seed,method,f1,corr_var_F
1.0,5,random,0.37770445163643834,
2.0,1,all bands,0.511563110264094,-0.1068112844195101
2.0,1,discriminability-oracle,0.46947318795918863,
2.0,1,variance-ranking,0.33477810901359123,
2.0,1,C2 spectral,0.45857130913867405,
2.0,1,C3 masked,0.4658877509914709,
2.0,1,random,0.4196089750104744,
2.0,2,all bands,0.5038249859924759,-0.10870216794632066
2.0,2,discriminability-oracle,0.4846294354542035,
2.0,2,variance-ranking,0.35904122877042416,
2.0,2,C2 spectral,0.41840383446867063,
2.0,2,C3 masked,0.3612204326370217,
2.0,2,random,0.36137453220451415,
2.0,3,all bands,0.4988150336105878,-0.0653714444638
2.0,3,discriminability-oracle,0.500571056996589,
2.0,3,variance-ranking,0.34605781594125345,
2.0,3,C2 spectral,0.43067360094771684,
2.0,3,C3 masked,0.4534327325085081,
2.0,3,random,0.3775288731099183,
2.0,4,all bands,0.5112318517026037,-0.09713657890584415
2.0,4,discriminability-oracle,0.505711160376256,
2.0,4,variance-ranking,0.3675611024901777,
2.0,4,C2 spectral,0.437170414227321,
2.0,4,C3 masked,0.3941529718767922,
2.0,4,random,0.3801661474558671,
2.0,5,all bands,0.5284538441220676,-0.0414926015560813
2.0,5,discriminability-oracle,0.46732293915095696,
2.0,5,variance-ranking,0.3704172526247261,
2.0,5,C2 spectral,0.4459982088410319,
2.0,5,C3 masked,0.37121037104812266,
2.0,5,random,0.36839124770728193,
