method,mean_f1,vs_oracle,clean,mild,realistic,dense
pca_load[k6],0.4773,0.9660,0.4732,0.4788,0.4860,0.4710
barlow,0.4746,0.9607,0.4999,0.4560,0.4772,0.4656
robust_disc,0.4720,0.9555,0.4821,0.4424,0.4897,0.4739
derivative_pca,0.4638,0.9388,0.4242,0.4783,0.4796,0.4732
ae_masked(C3),0.4251,0.8604,0.4838,0.4035,0.4144,0.3987
variance,0.3845,0.7783,0.4899,0.3437,0.3513,0.3531
