config,clean,realistic,mean_f1,sec
flex a=leaky m=0.0 L=12 d=4,0.3317,0.4531,0.3924,24.1232
flex a=relu m=0.5 L=6 d=2,0.5110,0.4458,0.4784,25.1876
flex a=relu m=0.5 L=12 d=2,0.4756,0.4402,0.4579,25.2781
flex a=gelu m=0.0 L=12 d=4,0.3313,0.4395,0.3854,25.1737
flex a=leaky m=0.5 L=12 d=2,0.4727,0.4367,0.4547,23.7685
flex a=leaky m=0.0 L=6 d=4,0.3409,0.4366,0.3887,23.7954
flex a=relu m=0.5 L=6 d=4,0.4924,0.4365,0.4644,35.0586
flex a=gelu m=0.5 L=12 d=2,0.4784,0.4332,0.4558,24.3037
flex a=elu m=0.5 L=12 d=2,0.4762,0.4331,0.4546,24.1850
flex a=relu m=0.0 L=6 d=4,0.3268,0.4316,0.3792,22.5429
flex a=leaky m=0.5 L=6 d=4,0.4891,0.4259,0.4575,34.5685
flex a=leaky m=0.5 L=6 d=2,0.5053,0.4240,0.4647,23.4421
flex a=leaky m=0.5 L=12 d=4,0.4481,0.4180,0.4331,34.9311
flex a=leaky m=0.0 L=12 d=2,0.3356,0.4153,0.3754,12.9840
flex a=gelu m=0.0 L=6 d=4,0.3313,0.4148,0.3730,25.2741
flex a=gelu m=0.5 L=6 d=2,0.5093,0.4146,0.4619,24.1148
flex a=elu m=0.0 L=12 d=2,0.4663,0.4123,0.4393,13.3668
flex a=relu m=0.0 L=12 d=2,0.3250,0.4053,0.3652,13.4992
flex a=relu m=0.5 L=12 d=4,0.4211,0.4004,0.4107,35.2156
flex a=silu m=0.0 L=6 d=4,0.3227,0.3973,0.3600,24.4856
flex a=silu m=0.5 L=12 d=2,0.4829,0.3903,0.4366,23.9746
flex a=gelu m=0.0 L=12 d=2,0.3548,0.3884,0.3716,13.4245
flex a=relu m=0.0 L=12 d=4,0.3271,0.3869,0.3570,23.1386
flex a=elu m=0.0 L=6 d=4,0.3813,0.3858,0.3836,25.4484
flex a=silu m=0.0 L=12 d=2,0.4288,0.3806,0.4047,13.0642
flex a=silu m=0.0 L=12 d=4,0.3197,0.3797,0.3497,24.3377
flex a=gelu m=0.0 L=6 d=2,0.4193,0.3761,0.3977,13.7726
flex a=relu m=0.0 L=6 d=2,0.3672,0.3755,0.3714,14.2777
flex a=elu m=0.0 L=12 d=4,0.3090,0.3710,0.3400,25.3024
flex a=leaky m=0.0 L=6 d=2,0.3754,0.3710,0.3732,12.6004
flex a=silu m=0.5 L=6 d=2,0.5050,0.3663,0.4357,23.6930
flex a=elu m=0.5 L=6 d=2,0.4583,0.3619,0.4101,23.9690
flex a=elu m=0.5 L=6 d=4,0.4932,0.3612,0.4272,36.0999
flex a=elu m=0.5 L=12 d=4,0.4904,0.3544,0.4224,36.0408
flex a=silu m=0.5 L=6 d=4,0.4854,0.3505,0.4180,35.3197
flex a=gelu m=0.5 L=12 d=4,0.4291,0.3504,0.3898,36.0851
flex a=elu m=0.0 L=6 d=2,0.5107,0.3501,0.4304,13.2301
flex a=silu m=0.0 L=6 d=2,0.4794,0.3490,0.4142,12.8037
flex a=silu m=0.5 L=12 d=4,0.4167,0.3434,0.3801,35.8657
flex a=gelu m=0.5 L=6 d=4,0.5009,0.3403,0.4206,35.9567
