Excitation,Min,Max,Mean,Median,StdDev,SNR,NumEmissionBands
300,1.6,237.3,16.804249377960776,13.3,10.668187991502206,1.575173721286715,141
310,1.4,217.1,16.91655600689825,13.4,10.72824327903326,1.5768244219404606,141
320,1.6,227.5,17.04579917312511,13.5,10.790760997294969,1.5796660844770964,141
330,1.6,216.2,17.146527463223066,13.6,10.85440845167681,1.5796832724287466,141
340,1.7,218.3,17.31555392217976,13.8,10.951262000879481,1.5811468962014763,141
350,1.8,226.5,17.463263292244942,13.9,11.040683369157264,1.581719419744388,141
360,1.6,206.9,17.594434747357813,14.0,11.104335842443616,1.584465293287274,141
370,1.6,228.0,17.710166429019125,14.1,11.181838480261801,1.5838331469624731,141
380,1.6,210.1,17.8122726094131,14.2,11.231181636383083,1.5859660351062943,141
390,1.6,216.1,17.95152791124715,14.3,11.314176733822535,1.5866402243464128,141
400,1.6,373.7,18.62359048829857,14.8,11.942791185027934,1.55940016029469,141
410,1.5,1305.4,20.234620963022238,15.7,15.170661010579819,1.333799558826796,141
420,1.4,1980.5,22.12036469804483,16.5,21.65576294278284,1.0214539546119676,141
430,1.6,1956.8,24.362726760756026,17.1,31.361806899418784,0.7768279053209632,141
440,0.0,2071.0,26.321313742779612,17.7,39.65391929125763,0.6637758439323446,141
450,0.0,2289.7,27.952201568387068,18.2,43.916968521778536,0.6364783934147344,141
460,0.0,2188.7,29.903876301650325,18.6,49.187194335097345,0.6079606024674703,141
470,0.0,3021.4,32.35918778439783,19.1,55.81103201577391,0.579799129592374,141
480,0.0,2977.0,32.38326838283667,19.2,54.68192448246959,0.5922115706300422,141
490,0.0,3813.2,33.895613907617744,19.5,57.84238242905257,0.5859996162708704,141
500,0.0,3883.1,35.44973709863974,19.7,62.31053259576669,0.568920463713837,141
