Excitation,Emission,Mean,SNR,CompositeScore,Rank
300,406.193740338236,39.937909545898435,4.632792069231126,0.9871653922825516,1
300,401.422850361206,40.601917419433605,4.619194470960615,0.9759951876865545,2
300,415.755019595096,38.62346374511719,4.634967219961714,0.9716220132001866,3
310,401.422850361206,40.95000091552734,4.660480312562888,1.0,1
310,406.193740338236,40.25040649414063,4.6511175845719945,0.9756389124231665,2
310,410.971174856366,39.52013916015626,4.6450983366954,0.9559874303560589,3
320,401.422850361206,41.169322814941395,4.665100715102221,0.9810615502316173,1
320,410.971174856366,39.76856719970703,4.678135571077025,0.9801739097772506,2
320,406.193740338236,40.500517883300766,4.659473386673713,0.9634193910988785,3
330,401.422850361206,41.50624755859374,4.710021577413852,1.0,1
330,406.193740338236,40.75386993408202,4.698468453237765,0.9721691345877105,2
330,410.971174856366,40.08688110351564,4.692363385075228,0.953681290936716,3
340,401.422850361206,41.8961553955078,4.709195863205732,0.985995584227173,1
340,410.971174856366,40.41775756835938,4.70145702772183,0.9529910971961011,2
340,406.193740338236,41.17481353759766,4.693616259588992,0.9509114161760498,3
350,406.193740338236,41.48540649414061,4.730839326514147,0.9893684929716406,1
350,401.422850361206,42.25657196044922,4.71924603535217,0.9823061990617838,2
350,410.971174856366,40.75473724365234,4.720997944940659,0.964275259927116,3
360,401.422850361206,42.492283020019535,4.737310713098007,1.0,1
360,406.193740338236,41.76204772949218,4.736598448110629,0.9888720227264909,2
360,410.971174856366,41.02544464111328,4.729019431116036,0.9669159832525129,3
370,401.422850361206,42.78820343017578,4.742322957070739,0.9871972391391427,1
370,406.193740338236,42.06763458251953,4.74533064471986,0.9817972457031421,2
370,410.971174856366,41.41563262939452,4.7510493095836415,0.9813083711321231,3
380,401.422850361206,43.040384521484384,4.772462846452207,1.0,1
380,410.971174856366,41.50388763427735,4.7716035754874895,0.9778664394381031,2
380,406.193740338236,42.239937438964844,4.764103240369138,0.9762210820665649,3
390,401.422850361206,43.4258221435547,4.783480379422945,0.9884765685918864,1
390,415.755019595096,41.097803649902346,4.791298417191726,0.9687663531413724,2
390,410.971174856366,41.87707122802734,4.77404846060215,0.9537956752740177,3
400,434.951814346016,39.82098205566406,4.434308854671886,0.893803818570817,1
400,439.76569538024603,39.12152832031251,4.440830280015397,0.8896793266979187,2
400,444.585180712076,38.449031982421886,4.434867905757952,0.8767939320416862,3
410,459.075919288166,39.22350311279297,3.444431108471031,0.7966017525885254,1
410,463.91647860539604,38.52143035888671,3.467919874199567,0.7946010781233395,2
410,454.240426986536,39.9654476928711,3.399510551928172,0.7942263758201458,3
420,478.467215445686,38.99420837402344,2.8042827346066237,0.7395175093289456,1
420,473.61226100465603,39.66522979736327,2.7773274006997717,0.7386882344113853,2
420,468.76197061772604,40.3722378540039,2.7274147292553055,0.732601577261327,3
430,483.326699620316,40.32509948730469,2.426842858738813,0.6794872313467789,1
430,488.190579208046,39.81500762939454,2.4109272493617135,0.6717628469750502,2
430,512.571207125696,37.04795959472656,2.4205089517675566,0.6543164824318373,3
440,507.687365279966,38.57945831298828,2.418184027768938,0.680699477571633,1
440,502.807247244836,39.232383728027344,2.3973662157823963,0.6788314679209269,2
440,522.349524966956,36.98322845458985,2.423869923372982,0.6727737431249903,3
450,551.759880613136,35.25352111816407,2.269086744327917,0.6393909836171091,1
450,546.851083820606,35.731486816406246,2.2608604191314283,0.63937498587047,2
450,541.944936274676,36.224747314453126,2.249296017077731,0.6384285103157117,3
460,401.422850361206,60.62185546874999,1.8059926129387776,0.6385087458678147,1
460,581.260773598916,33.57346282958984,2.098196418042693,0.614036039824064,2
460,586.184354143646,33.16707794189452,2.0913597659075354,0.6098655637535999,3
470,406.193740338236,61.98009124755858,1.656541659382497,0.620001428292172,1
470,410.971174856366,63.94692016601564,1.5046746340785684,0.567582668662713,2
470,605.893079943566,32.83126831054689,1.8098769160197596,0.5674625228251761,3
480,410.971174856366,60.47544982910156,1.6973895255643814,0.6287994270750441,1
480,420.545140233926,60.422990112304696,1.6083857117606615,0.594093556158646,2
480,406.193740338236,64.6827963256836,1.489969898334015,0.5652159203151785,3
490,415.755019595096,60.250148620605465,1.6845561245618133,0.6551989812236223,1
490,425.341402452356,58.9671469116211,1.6396389907966242,0.6312342882762884,2
490,410.971174856366,63.06157836914063,1.5319797968474222,0.6012301746363062,3
500,420.545140233926,59.361396484374986,1.6685901835426227,0.6395000500836535,1
500,615.754204529126,32.0504833984375,1.769591952246817,0.5827718233560575,2
500,430.143671929886,60.03165679931641,1.5171440778806464,0.5777887527233757,3
