Excitation,Emission,Mean,SNR,CompositeScore,Rank
300,425.341402452356,37.998264023381104,4.688375061986342,0.9434804250219446,1
300,410.971174856366,40.036584034649096,4.662082908340485,0.934539349751915,2
300,415.755019595096,39.392033170182046,4.666457248517058,0.9317361083839582,3
310,401.422850361206,41.74165991760274,4.706617860129759,1.0,1
310,406.193740338236,41.03515616747068,4.681628528477362,0.9548078761021352,2
310,410.971174856366,40.29783267016444,4.667087521431965,0.9239589985002032,3
320,410.971174856366,40.477409415824496,4.727345292667561,0.9671831414739266,1
320,430.143671929886,37.86677347793936,4.736946447971246,0.9439666017616135,2
320,401.422850361206,41.89591358850663,4.677018315226061,0.9182973905639538,3
330,401.422850361206,42.26489313003979,4.747586501616191,1.0,1
330,406.193740338236,41.44331842670517,4.742932320768023,0.9816034564116306,2
330,410.971174856366,40.78813866685447,4.736052236255206,0.9621176160874394,3
340,401.422850361206,43.112771576463956,4.78301346800548,0.9907396143369861,1
340,410.971174856366,41.59634318109793,4.786616121472872,0.975943855430895,2
340,415.755019595096,40.78994330786295,4.767423967856372,0.9347001437991214,3
350,406.193740338236,43.01015528715799,4.791908354480436,0.9886709873370918,1
350,401.422850361206,43.86294235712525,4.7798923886823435,0.9815758555254442,2
350,410.971174856366,42.28850839818304,4.77169451764132,0.9480901475635855,3
360,401.422850361206,44.29340821859925,4.801411569363199,0.9683711839279581,1
360,406.193740338236,43.52675094193458,4.804564766830464,0.9630371921340561,2
360,410.971174856366,42.78306454452622,4.809964788243873,0.9613943304122361,3
370,410.971174856366,43.263637804148026,4.848846833276503,0.970315628098368,1
370,401.422850361206,44.77217331596183,4.820834137003615,0.9487696315212849,2
370,406.193740338236,43.95899327441108,4.826248794513594,0.9461397905188513,3
380,401.422850361206,44.950176062537416,4.867694165432181,0.9954990754431321,1
380,406.193740338236,44.170675023768446,4.844784722765563,0.95072816686456,2
380,410.971174856366,43.382046903059965,4.837560797787685,0.9295627377502311,3
390,401.422850361206,45.58001514137822,4.900019223908269,1.0,1
390,410.971174856366,43.95383288143949,4.89941609449348,0.9783657331735027,2
390,406.193740338236,44.720219021796545,4.87296704500296,0.9522135892970003,3
400,434.951814346016,44.402480721152145,4.587251960496484,0.8777889957724245,1
400,439.76569538024603,43.55642100073946,4.566486150440908,0.8554598038119596,2
400,449.410136021006,42.17421916264658,4.573572675286846,0.8445628494136037,3
410,459.075919288166,48.78009436952006,3.998156775546396,0.7461146842339752,1
410,463.91647860539604,47.777979858445725,4.020697088521029,0.7437178565996099,2
410,468.76197061772604,47.12126835451953,4.007497882678418,0.7366142105894572,3
420,473.61226100465603,52.942880030987,3.5298716461374684,0.6779858567571545,1
420,478.467215445686,52.02791119405613,3.5507599104515077,0.6779586080849659,2
420,468.76197061772604,54.10292439874644,3.4633402726915308,0.6698404363070194,3
430,483.326699620316,57.024115285749495,3.2186969306937208,0.5910015794846745,1
430,488.190579208046,56.51866791084193,3.208115593768258,0.5870886728052981,2
430,512.571207125696,52.71241945138913,3.1568113963094757,0.5632726445611358,3
440,507.687365279966,56.725235043487444,3.436530167930367,0.6103874711278935,1
440,522.349524966956,54.22371562378957,3.4631262166687495,0.6094402432675916,2
440,502.807247244836,57.76532800450721,3.4053426904747157,0.6065173387781799,3
450,546.851083820606,55.17820169724286,3.24243642422448,0.5805158390698286,1
450,551.759880613136,54.351387372794825,3.237763493465927,0.57772205560633,2
450,541.944936274676,56.04227085460756,3.218928177987349,0.5761735939881999,3
460,581.260773598916,54.57320152118031,2.9306454045483776,0.5516096226405769,1
460,591.109509370976,53.303007148139024,2.92823681757275,0.5489461915936877,2
460,576.3389020572861,55.585890348251695,2.9170611869457623,0.5485016336125608,3
470,969.0874419133161,19.104866368534104,2.599809879352962,0.5039234037692375,1
470,964.453302903686,19.323055389274273,2.5987026738799326,0.5035995567267884,2
470,605.893079943566,57.33070706715025,2.516058001583485,0.5033991201081252,3
480,420.545140233926,113.96864854396281,2.4660356234783305,0.5297069541357162,1
480,410.971174856366,109.27522271910982,2.4249204888368,0.5041023432314096,2
480,1005.823952139956,17.389791894080776,2.635485890189604,0.5027679679195735,3
490,415.755019595096,110.17976337194972,2.424819567398515,0.5667740612913421,1
490,425.341402452356,109.62124370576427,2.4141321672244715,0.5597866552402269,2
490,478.467215445686,481.8520916229445,1.648516330439914,0.501275867263298,3
500,420.545140233926,108.01317828092539,2.274208640739279,0.5469209152472364,1
500,430.143671929886,116.03308215077998,2.2550739517849783,0.5408175207227713,2
500,615.754204529126,56.28797844994542,2.3327119737471094,0.5386116846031134,3
