Excitation,Min,Max,Mean,Median,StdDev,SNR,NumEmissionBands
300,2.0,202.8,17.167323667125444,13.7,10.851538853115617,1.5820174354530818,141
310,1.9,196.3,17.269248530127538,13.8,10.903008283378076,1.583897588746673,141
320,1.9,220.9,17.373150862619028,13.8,10.967948444518246,1.5839927540233913,141
330,1.9,189.9,17.46900247960982,13.9,11.020320710782881,1.5851628040658743,141
340,2.0,186.7,17.83882749592369,14.2,11.227974930172227,1.5887840511637177,141
350,2.0,226.5,18.15705997039652,14.5,11.419663480041498,1.5899820517592467,141
360,2.2,192.3,18.391341356790303,14.7,11.53893052361336,1.5938514682235165,141
370,2.2,228.0,18.58267173776722,14.9,11.640125402797143,1.5964322629463916,141
380,2.0,204.5,18.724272867963837,15.0,11.683022131859937,1.6026908668521826,141
390,2.1,215.4,18.984023223772468,15.3,11.819962468484356,1.6060984351168368,141
400,2.3,373.7,20.935385673104566,16.7,13.304630875781482,1.5735412630810677,141
410,2.2,1305.4,25.918548650324606,20.1,19.362771568726043,1.3385763788169245,141
420,2.7,1963.3,31.39502632072499,22.8,29.765857651933636,1.0547327978196361,141
430,2.1,1956.8,38.15212011760478,25.5,44.139889448683185,0.864345620121234,141
440,0.0,2071.0,44.31588743385476,28.2,57.10547726657693,0.7760356721472015,141
450,0.0,2271.5,51.39264791563176,30.4,69.52127660609031,0.7392362514690874,141
460,0.0,2183.2,62.394765698222926,34.1,86.69790614082066,0.7196801915478452,141
470,0.0,2236.2,74.97217372802297,41.0,104.27624330578726,0.7189765506623508,141
480,0.0,2601.8,74.40707484206183,42.2,100.71317090188279,0.7388018287553572,141
490,0.0,2717.1,80.60529221511396,45.0,106.69207323501907,0.7554946658273133,141
500,0.0,2776.9,88.07421471737962,50.8,116.05124750502468,0.7589251870262426,141
